訂單號,訂單日期,顧客姓名,訂單等級,訂單數量,銷售額,折扣點,運輸方式,利潤額,單價,運輸成本,區域,省份,城市,產品類別,產品子類別,產品名稱,產品包箱,運送日期,,
3,2010/10/13,李鵬晨,低級,6,261.54,0.04,火車,-213.25,38.94,35,華北,河北,石家莊,辦公用品,容器，箱子,"Eldon Base for stackable storage shelf, platinum",大型箱子,2010/10/20,,
6,2012/2/20,王勇民,其它,2,6,0.01,火車,-4.64,2.08,2.56,華南,河南,鄭州,辦公用品,剪刀，尺子，鋸,Kleencut® Forged Office Shears by Acme United Corporation,小型包裹,2012/2/21,,
32,2011/7/15,姚文文,高級,26,2808.08,0.07,火車,1054.82,107.53,5.81,華南,廣東,汕頭,傢俱產品,辦公裝飾品,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",中型箱子,2011/7/17,,
32,2011/7/15,姚文文,高級,24,1761.4,0.09,大卡,-1748.56,70.89,89.3,華北,內蒙古,呼和浩特,傢俱產品,桌子,KI Conference Tables,巨型紙箱,2011/7/16,,
32,2011/7/15,姚文文,高級,23,160.2335,0.04,火車,-85.13,7.99,5.03,華北,內蒙古,呼和浩特,技術產品,電話通信產品,Bell Sonecor JB700 Caller ID,中型箱子,2011/7/17,,
32,2011/7/15,姚文文,高級,15,140.56,0.04,火車,-128.38,8.46,8.99,東北,遼寧,瀋陽,技術產品,電腦配件,"Imation 3.5 IBM Diskettes, 10/Box",小型包裹,2011/7/16,,
35,2011/10/22,高亮平,其它,30,288.56,0.03,火車,60.72,9.11,2.25,東北,吉林,長春,辦公用品,筆、美術用品,Dixon Ticonderoga Core-Lock Colored Pencils,打包紙袋,2011/10/23,,
35,2011/10/22,高亮平,其它,14,1892.848,0.01,火車,48.99,155.99,8.99,華南,湖北,武漢,技術產品,電話通信產品,CF 688,小型箱子,2011/10/24,,
36,2011/11/2,張國華,中級,46,2484.7455,0.1,火車,657.48,65.99,4.2,華南,河南,鄭州,技術產品,電話通信產品,6162i,小型箱子,2011/11/2,,
65,2011/3/17,李丹,中級,32,3812.73,0.02,火車,1470.30,115.79,1.99,華南,廣西,南寧,技術產品,電腦配件,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",小型包裹,2011/3/18,,
66,2009/1/19,謝浩謙,低級,41,108.15,0.09,火車,7.57,2.88,0.7,華北,北京,北京,辦公用品,筆、美術用品,Newell 340,打包紙袋,2009/1/19,,
69,2009/6/3,何春梅,其它,42,1186.06,0.09,火車,511.69,30.93,3.92,西北,甘肅,蘭州,傢俱產品,辦公裝飾品,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",小型包裹,2009/6/5,,
69,2009/6/3,何春梅,其它,28,51.53,0.03,空運,0.35,1.68,0.7,華南,廣東,汕頭,辦公用品,筆、美術用品,Newell 308,打包紙袋,2009/6/5,,
70,2010/12/17,張瑤培,低級,48,90.05,0.03,火車,-107.00,1.86,2.58,華南,廣東,汕頭,辦公用品,橡皮筋,"Super Bands, 12/Pack",打包紙袋,2010/12/22,,
70,2010/12/17,張瑤培,低級,46,7804.53,0.05,火車,2057.17,205.99,5.99,華北,北京,北京,技術產品,電話通信產品,3285,小型箱子,2010/12/22,,
96,2009/4/16,楊國宇,高級,37,4158.1235,0.01,火車,1228.89,125.99,8.99,華北,北京,北京,技術產品,電話通信產品,SC7868i,小型箱子,2009/4/18,,
97,2010/1/28,胡曉,中級,26,75.57,0.03,火車,28.24,2.89,0.5,西南,四川,成都,辦公用品,標籤,Avery 498,小型箱子,2010/1/29,,
129,2012/11/18,黃東亮,低級,4,32.72,0.09,火車,-22.59,6.48,8.19,華南,廣西,南寧,辦公用品,紙張,Xerox 217,小型箱子,2012/11/27,,
130,2012/5/7,張宏波,高級,3,461.89,0.05,空運,-309.82,150.98,13.99,華南,海南,海口,技術產品,辦公機器,Canon MP41DH Printing Calculator,中型箱子,2012/5/9,,
130,2012/5/7,張宏波,高級,29,575.11,0.02,火車,71.75,18.97,9.03,華東,福建,福州,辦公用品,紙張,Computer Printout Paper with Letter-Trim Perforations,小型箱子,2012/5/8,,
130,2012/5/7,張宏波,高級,23,236.46,0.05,火車,-134.31,9.71,9.45,華北,天津,天津,辦公用品,容器，箱子,Filing/Storage Totes and Swivel Casters,小型箱子,2012/5/10,,
132,2010/6/10,楊肇輝,中級,27,192.814,0.03,火車,-86.20,7.99,5.03,西北,新疆,烏魯木齊,技術產品,電話通信產品,Bell Sonecor JB700 Caller ID,中型箱子,2010/6/11,,
132,2010/6/10,楊肇輝,中級,30,4011.65,0.05,大卡,-603.80,130.98,54.74,西北,新疆,烏魯木齊,傢俱產品,書架,"O'Sullivan Elevations Bookcase, Cherry Finish",巨型紙箱,2010/6/13,,
134,2012/4/30,王震環,其它,11,1132.6,0.01,火車,-310.21,95.99,35,華南,河南,鄭州,辦公用品,容器，箱子,Safco Industrial Wire Shelving,大型箱子,2012/5/2,,
135,2011/10/20,齊千郡,其它,25,125.85,0.09,火車,-89.25,4.98,4.62,華南,廣東,汕頭,技術產品,電腦配件,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",小型包裹,2011/10/22,,
166,2011/9/11,何春香,高級,10,567.936,0.02,空運,-126.09,65.99,8.99,華南,廣東,汕頭,技術產品,電話通信產品,i270,小型箱子,2011/9/13,,
193,2010/8/7,吳磊,中級,14,174.89,0.06,火車,-37.04,12.44,6.27,華南,廣東,汕頭,辦公用品,容器，箱子,Eldon Simplefile® Box Office®,中型箱子,2010/8/9,,
194,2012/4/4,謝中明,中級,49,329.03,0.1,火車,-197.25,7.28,7.98,華北,山西,太原,傢俱產品,辦公裝飾品,"Master Caster Door Stop, Large Neon Orange",打包紙袋,2012/4/6,,
194,2012/4/4,謝中明,中級,6,20.19,0.04,火車,-13.44,3.14,1.92,東北,遼寧,瀋陽,辦公用品,剪刀，尺子，鋸,Serrated Blade or Curved Handle Hand Letter Openers,打包紙袋,2012/4/6,,
195,2010/12/27,呂果,中級,34,1315.74,0.03,火車,260.87,36.55,13.89,華南,廣西,南寧,辦公用品,筆、美術用品,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",打包紙袋,2010/12/29,,
197,2011/4/6,高微微,高級,23,310.52,0.01,火車,33.22,12.98,3.14,華南,海南,海口,辦公用品,剪刀，尺子，鋸,"Acme® 8"" Straight Scissors",小型包裹,2011/4/8,,
